SIMUL8 Flow File Version 1.00
ID,Time,lbl_resource,lbl_loc,lbl_seq
1,2,4,10,4
2,2,6,3,3
3,4,5,10,5
4,4,7,15,6
5,5,9,13,0
6,6,10,15,7
7,8,8,19,8
8,12,3,9,1
9,12,2,19,9
10,14,1,8,2
11,17,3,5,10
12,19,1,13,11
13,23,6,20,12
14,25,2,3,18
15,27,1,10,20
16,27,3,3,19
17,32,4,20,13
18,33,5,2,14
19,34,7,16,15
20,35,10,9,16
21,37,8,11,17
22,37,4,10,22
23,37,5,15,23
24,39,7,17,24
25,43,10,17,25
26,44,8,14,26
27,46,1,15,28
28,47,6,9,21
29,49,2,14,27
30,49,4,15,30
31,51,5,15,31
32,53,7,19,32
33,54,10,13,33
34,54,8,14,34
35,56,1,15,36
36,58,4,19,37
37,59,2,14,35
38,59,5,13,38
39,60,6,1,29
40,64,7,2,39
41,68,1,17,43
42,74,10,2,40
43,75,8,16,41
44,76,2,6,42
45,78,2,3,49
46,84,4,2,44
47,86,5,16,45
48,88,7,6,46
49,89,10,1,47
50,90,8,11,48
51,100,4,6,50
52,100,5,9,51
53,112,7,9,52
54,114,10,11,53
55,116,2,3,55
56,118,5,17,56
57,118,7,19,57
58,119,10,14,58
59,128,8,11,54
60,133,8,14,59
61,133,2,18,60
62,135,2,10,65
63,135,5,4,61
64,135,8,3,64
65,140,7,9,62
66,140,5,14,66
67,142,10,11,63
68,144,10,3,68
69,146,8,10,69
70,148,2,10,70
71,151,5,18,71
72,153,7,1,67
73,155,10,12,73
74,157,8,12,74
75,157,2,15,75
76,164,5,20,76
77,167,7,8,72
78,171,7,19,77
79,172,10,18,78
80,174,8,4,79
81,176,10,15,82
82,181,2,4,80
83,185,8,16,83
84,188,5,11,81
85,190,5,3,85
86,191,10,7,86
87,196,2,16,84
88,200,10,17,89
89,207,8,16,87
90,208,2,6,88
91,220,8,6,90
92,225,10,18,92
93,232,2,6,91
94,239,10,4,95
95,244,8,6,93
96,244,2,9,94
97,251,2,4,96
98,254,10,2,97
99,264,2,2,98
100,276,2,9,99
101,289,2,1,100
102,303,2,8,101
103,317,2,8,102
104,319,2,10,103
105,321,2,10,104
106,323,2,15,105
107,326,2,7,106
108,329,2,7,107
109,333,2,19,108
110,337,2,19,109
111,342,2,5,110
112,347,2,14,111
113,352,2,18,112
114,361,2,20,113
115,370,2,20,114
116,380,2,2,115
117,394,2,8,116
118,408,2,8,117
119,411,2,7,118
120,420,2,20,119
