SIMUL8 Flow File Version 1.00
ID,Time,lbl_resource,lbl_loc,lbl_seq
1,8,10,18,1
2,8,2,1,0
3,9,8,3,2
4,18,5,3,3
5,19,7,9,4
6,19,4,15,5
7,27,6,1,7
8,28,3,3,8
9,29,1,15,6
10,29,9,13,9
11,39,2,15,10
12,49,10,15,11
13,50,8,4,12
14,59,1,10,16
15,60,6,9,17
16,61,7,8,14
17,61,4,19,15
18,61,5,4,13
19,70,3,9,18
20,70,2,15,19
21,80,10,15,20
22,81,8,11,21
23,89,4,6,24
24,89,6,20,26
25,90,3,5,27
26,91,1,13,25
27,92,5,11,22
28,92,7,16,23
29,99,2,5,28
30,100,10,7,29
31,100,8,12,30
32,101,6,3,35
33,102,5,13,31
34,102,7,15,32
35,103,1,8,34
36,103,4,2,33
37,110,2,3,36
38,111,10,9,37
39,111,4,20,41
40,112,8,11,38
41,113,5,14,39
42,113,7,19,40
43,113,1,15,42
44,121,2,2,43
45,130,4,10,48
46,131,1,17,49
47,132,8,11,45
48,132,5,16,46
49,132,7,19,47
50,132,10,2,44
51,143,2,2,50
52,151,5,18,53
53,152,4,10,55
54,153,7,9,54
55,154,8,14,52
56,154,10,2,51
57,161,2,10,56
58,162,5,20,59
59,164,10,12,57
60,164,7,17,60
61,165,8,14,58
62,172,2,4,61
63,181,5,10,64
64,183,8,14,63
65,183,10,4,62
66,183,7,2,65
67,193,5,9,69
68,194,10,11,67
69,194,8,16,68
70,194,7,19,70
71,194,2,4,66
72,202,8,6,73
73,202,10,1,72
74,204,5,15,74
75,205,2,19,71
76,210,7,1,75
77,213,2,6,76
78,213,10,18,77
79,214,8,10,78
80,215,5,15,79
81,221,7,6,80
82,229,2,6,81
83,230,10,3,82
84,240,5,17,84
85,241,8,16,83
86,241,2,8,85
87,241,10,11,86
88,252,8,16,87
89,252,2,8,89
90,252,10,14,90
91,252,5,2,88
92,263,8,19,91
93,271,8,6,94
94,273,10,13,93
95,274,2,19,92
96,282,2,6,95
97,284,10,17,96
98,293,2,8,97
99,294,10,17,98
100,304,2,8,99
101,315,2,14,100
102,326,2,14,101
103,337,2,16,102
104,348,2,19,103
105,356,2,18,104
106,364,2,18,105
107,372,2,20,106
108,381,2,3,107
109,390,2,10,108
110,399,2,10,109
111,409,2,7,110
112,419,2,9,111
113,430,2,14,112
114,438,2,20,113
115,446,2,20,114
116,455,2,3,115
117,464,2,10,116
118,474,2,7,117
119,484,2,7,118
120,494,2,9,119
