SIMUL8 Flow File Version 1.00
ID,Time,lbl_resource,lbl_loc,lbl_seq
1,8,10,18,1
2,9,2,3,0
3,11,4,19,2
4,11,1,16,3
5,17,10,5,4
6,19,1,6,5
7,28,10,4,6
8,36,7,18,8
9,38,9,15,9
10,39,10,2,7
11,48,10,3,10
12,56,9,1,12
13,57,10,3,11
14,59,10,8,13
15,67,2,1,16
16,68,7,10,15
17,70,1,8,14
18,77,7,10,17
19,80,10,9,19
20,81,1,8,18
21,88,10,20,20
22,89,7,5,22
23,91,9,11,23
24,91,6,4,21
25,100,8,5,26
26,102,1,11,25
27,102,6,4,24
28,111,10,10,28
29,112,6,17,27
30,120,5,10,29
31,120,6,20,30
32,122,2,7,31
33,123,7,2,32
34,130,5,9,33
35,141,5,8,34
36,141,6,19,35
37,151,5,12,36
38,151,10,13,38
39,151,2,17,39
40,152,4,8,37
41,160,10,3,40
42,169,4,3,41
43,170,1,15,42
44,170,6,9,44
45,171,7,8,43
46,179,4,17,45
47,179,7,6,47
48,180,10,16,46
49,181,2,9,48
50,182,3,8,49
51,188,10,20,51
52,190,7,2,50
53,198,7,18,52
54,198,6,6,55
55,200,4,15,53
56,201,10,19,54
57,206,2,18,56
58,209,3,14,57
59,209,4,10,58
60,212,1,19,59
61,214,6,18,60
62,217,9,2,61
63,219,2,9,63
64,220,5,14,62
65,228,4,18,65
66,228,9,6,67
67,230,5,12,64
68,231,1,11,66
69,240,1,3,68
70,242,2,11,69
71,242,4,8,70
72,251,4,10,71
73,259,3,18,73
74,259,1,20,74
75,260,6,10,76
76,261,5,15,75
77,261,2,7,77
78,262,4,16,72
79,270,10,20,81
80,272,4,12,78
81,272,7,7,80
82,273,5,4,79
83,282,2,12,82
84,283,1,11,83
85,290,2,20,84
86,292,5,7,85
87,292,7,12,87
88,293,10,16,86
89,302,9,10,89
90,303,1,13,90
91,304,4,16,88
92,314,7,9,92
93,315,2,16,91
94,323,5,18,94
95,323,7,1,97
96,326,4,16,93
97,326,9,19,96
98,326,10,14,98
99,326,8,4,95
100,331,1,1,99
101,337,3,8,101
102,337,10,4,100
103,348,3,16,102
104,348,5,11,103
105,358,5,9,106
106,359,8,16,104
107,359,10,19,105
108,368,2,9,107
109,368,4,13,108
110,368,6,7,109
111,368,1,15,110
112,368,8,10,111
113,379,6,11,112
114,387,4,1,114
115,390,6,16,113
116,400,1,9,116
117,401,9,16,115
118,410,10,5,118
119,411,6,7,119
120,412,9,16,117
