SIMUL8 Flow File Version 1.00
ID,Time,lbl_resource,lbl_loc,lbl_seq
1,11,8,16,0
2,18,5,4,3
3,21,9,2,2
4,22,3,16,1
5,23,2,18,6
6,23,7,5,5
7,25,6,4,4
8,27,10,19,8
9,28,4,18,7
10,29,8,10,10
11,31,1,19,9
12,41,3,8,11
13,41,9,11,12
14,53,6,6,14
15,55,5,11,13
16,57,9,19,22
17,58,3,14,21
18,58,5,7,23
19,60,8,4,20
20,61,6,7,24
21,62,1,20,19
22,63,10,2,18
23,64,4,16,17
24,65,7,6,15
25,65,2,9,16
26,67,7,10,25
27,67,2,12,26
28,69,4,12,27
29,81,10,8,28
30,83,9,10,32
31,85,5,10,33
32,86,3,18,31
33,86,8,5,30
34,95,1,8,29
35,96,7,1,35
36,97,6,11,34
37,107,4,16,37
38,109,2,1,36
39,112,1,13,39
40,118,10,16,38
41,121,3,8,40
42,121,5,9,42
43,122,9,1,41
44,126,4,13,46
45,128,9,15,49
46,128,1,3,48
47,130,2,20,45
48,130,5,15,50
49,131,10,13,47
50,131,7,2,44
51,133,6,9,43
52,137,2,17,53
53,139,1,15,56
54,141,4,17,54
55,141,10,19,55
56,143,7,2,52
57,144,6,16,51
58,146,4,3,62
59,147,2,7,61
60,148,1,15,64
61,148,10,3,63
62,149,9,6,57
63,149,5,9,58
64,149,7,18,60
65,153,6,20,59
66,154,5,14,66
67,158,6,18,67
68,160,9,16,65
69,160,4,10,70
70,161,2,7,69
71,162,10,10,71
72,163,7,18,68
73,165,4,10,78
74,165,2,3,77
75,166,7,7,76
76,167,6,17,75
77,168,5,18,74
78,171,9,16,73
79,174,1,8,72
80,175,10,9,79
81,177,5,12,81
82,177,7,10,83
83,182,6,4,82
84,186,10,16,86
85,187,1,9,80
86,188,4,1,85
87,189,2,11,84
88,189,5,12,88
89,191,6,19,89
90,191,7,12,90
91,198,1,16,87
92,201,2,9,91
93,201,6,7,96
94,207,10,20,93
95,209,4,16,92
96,212,1,11,94
97,212,5,8,95
98,214,6,10,102
99,214,10,3,100
100,216,4,19,99
101,224,2,9,98
102,226,7,8,97
103,226,1,11,101
104,228,4,15,105
105,235,10,20,106
106,237,2,16,104
107,238,7,9,103
108,240,1,11,107
109,242,4,8,108
110,244,10,20,109
111,251,10,4,112
112,253,1,1,110
113,256,4,8,111
114,260,10,4,114
115,265,1,6,113
116,265,10,5,115
117,270,10,5,116
118,275,10,14,117
119,280,10,18,118
120,282,10,3,119
