SIMUL8 Flow File Version 1.00
ID,Time,lbl_resource,lbl_loc,lbl_seq
1,2,10,10,1
2,2,2,12,2
3,2,4,15,3
4,2,1,3,0
5,3,7,7,4
6,4,6,17,5
7,5,5,14,6
8,10,9,2,7
9,11,3,16,8
10,13,7,10,14
11,15,6,10,15
12,15,5,12,16
13,15,9,15,17
14,18,3,14,18
15,22,8,16,9
16,23,1,6,10
17,23,10,9,11
18,24,2,1,12
19,25,4,8,13
20,29,8,4,19
21,32,1,20,20
22,41,10,20,21
23,43,2,16,22
24,45,8,10,29
25,45,1,15,30
26,47,10,19,31
27,48,3,18,28
28,53,2,18,32
29,54,4,16,23
30,55,7,6,24
31,55,6,9,25
32,57,5,8,26
33,57,9,11,27
34,59,4,18,33
35,62,1,13,40
36,62,8,5,39
37,65,7,2,34
38,66,6,16,35
39,67,10,13,41
40,69,5,9,36
41,70,9,1,37
42,71,3,8,38
43,71,2,20,42
44,77,4,16,43
45,81,7,9,44
46,83,6,11,45
47,85,9,10,47
48,97,5,11,46
49,97,3,8,48
50,99,10,3,50
51,101,4,10,52
52,101,7,12,53
53,101,2,3,51
54,102,6,7,54
55,105,5,7,55
56,106,9,19,56
57,111,1,8,49
58,115,1,19,57
59,116,10,5,58
60,123,2,9,59
61,124,4,1,60
62,127,6,7,62
63,129,5,18,63
64,135,9,16,64
65,137,7,1,61
66,137,4,3,68
67,139,7,10,69
68,141,6,19,70
69,144,5,4,71
70,146,1,16,65
71,149,10,8,66
72,149,2,11,67
73,151,10,3,74
74,152,2,7,75
75,153,4,17,76
76,154,6,18,78
77,154,7,5,77
78,157,9,16,72
79,158,1,9,73
80,160,10,3,82
81,161,2,7,83
82,162,4,19,84
83,163,7,18,85
84,165,6,4,86
85,170,5,9,79
86,170,9,6,80
87,171,1,1,81
88,172,5,10,87
89,173,1,15,88
90,175,10,19,89
91,183,2,9,90
92,185,4,8,91
93,187,5,12,94
94,192,6,4,93
95,199,7,8,92
96,201,4,10,98
97,201,5,15,101
98,204,7,18,99
99,204,10,5,96
100,208,6,20,100
101,211,2,9,97
102,213,1,8,95
103,217,2,17,104
104,218,10,14,103
105,218,4,13,105
106,223,7,2,106
107,225,6,6,107
108,227,1,11,102
109,232,10,18,109
110,238,4,16,110
111,241,1,11,108
112,243,4,12,113
113,248,10,4,112
114,255,1,11,111
115,255,10,4,114
116,264,10,20,115
117,273,10,20,116
118,283,10,2,117
119,294,10,16,118
120,305,10,16,119
