SIMUL8 Flow File Version 1.00
ID,Time,lbl_resource,lbl_loc,lbl_seq
1,9,10,3,0
2,10,7,12,2
3,11,5,8,1
4,19,5,18,3
5,20,6,10,4
6,21,2,17,6
7,22,4,8,5
8,29,9,10,7
9,33,4,16,8
10,33,10,8,9
11,44,3,8,10
12,53,7,10,12
13,54,6,9,13
14,55,1,8,11
15,64,4,10,16
16,66,1,19,14
17,66,10,4,15
18,74,10,20,18
19,74,2,18,20
20,77,1,11,17
21,77,6,16,19
22,83,2,3,21
23,88,4,16,22
24,88,10,4,23
25,98,10,13,24
26,99,1,11,25
27,99,7,8,26
28,107,10,5,27
29,109,1,15,28
30,119,9,15,29
31,119,5,12,30
32,120,10,2,31
33,129,5,9,32
34,129,4,17,33
35,139,4,13,34
36,140,5,11,35
37,148,1,3,37
38,149,4,12,36
39,157,10,3,38
40,158,10,9,39
41,166,7,18,41
42,167,10,3,40
43,178,8,16,42
44,188,7,7,46
45,189,1,16,43
46,189,3,14,45
47,189,9,2,44
48,197,2,20,49
49,199,6,17,48
50,200,9,16,47
51,207,2,9,50
52,209,5,10,55
53,210,1,13,54
54,211,10,16,51
55,211,9,19,53
56,211,6,4,52
57,218,7,10,56
58,227,4,10,57
59,229,10,19,58
60,229,7,2,59
61,237,4,18,62
62,238,8,10,61
63,238,10,5,63
64,240,6,19,60
65,240,1,11,64
66,247,8,5,65
67,250,6,7,66
68,251,4,19,67
69,256,7,5,68
70,259,1,20,70
71,261,4,15,69
72,261,2,12,71
73,267,7,2,72
74,269,2,1,73
75,272,5,14,74
76,279,2,9,75
77,280,9,16,76
78,280,3,18,78
79,283,6,11,79
80,283,5,4,77
81,292,10,10,82
82,293,5,15,81
83,294,6,4,80
84,302,10,20,85
85,303,4,3,84
86,304,6,7,83
87,304,7,9,87
88,305,2,11,86
89,312,1,6,90
90,313,10,16,88
91,314,5,7,89
92,315,3,8,91
93,320,1,1,92
94,322,10,20,94
95,324,5,12,93
96,331,1,8,95
97,333,10,19,96
98,339,7,6,101
99,339,9,1,99
100,341,2,9,98
101,342,4,8,97
102,342,3,16,100
103,344,10,14,102
104,350,6,18,105
105,351,1,9,103
106,353,2,16,104
107,353,8,4,106
108,358,10,18,107
109,358,4,1,108
110,361,6,20,110
111,363,2,7,109
112,369,4,16,111
113,371,9,6,114
114,371,7,18,116
115,373,2,7,112
116,373,1,15,113
117,373,5,9,115
118,379,6,6,117
119,379,7,1,119
120,382,9,11,118
