SIMUL8 Flow File Version 1.00
ID,Time,lbl_resource,lbl_loc,lbl_seq
1,2,7,12,2
2,2,10,3,0
3,14,5,8,1
4,16,6,10,4
5,18,2,17,6
6,18,9,10,7
7,19,5,18,3
8,28,4,8,5
9,39,4,16,8
10,42,10,8,9
11,56,3,8,10
12,58,7,10,12
13,68,6,9,13
14,70,1,8,11
15,72,4,10,16
16,74,1,19,14
17,77,10,4,15
18,82,2,18,20
19,84,2,3,21
20,86,10,20,18
21,88,1,11,17
22,88,6,16,19
23,95,10,4,23
24,99,4,16,22
25,100,10,13,24
26,105,10,5,27
27,109,1,11,25
28,109,7,8,26
29,111,1,15,28
30,113,9,15,29
31,113,5,12,30
32,117,4,17,33
33,121,10,2,31
34,122,4,13,34
35,125,5,9,32
36,127,4,12,36
37,127,1,3,37
38,129,10,3,38
39,139,5,11,35
40,139,10,9,39
41,141,10,3,40
42,144,7,18,41
43,152,8,16,42
44,155,7,7,46
45,157,3,14,45
46,162,9,2,44
47,163,1,16,43
48,167,6,17,48
49,172,2,20,49
50,174,9,16,47
51,176,5,10,55
52,178,9,19,53
53,178,7,10,56
54,179,1,13,54
55,180,4,10,57
56,181,6,4,52
57,184,2,9,50
58,185,10,16,51
59,189,10,19,58
60,191,8,10,61
61,193,6,19,60
62,194,4,18,62
63,194,10,5,63
64,195,7,2,59
65,197,6,7,66
66,198,4,19,67
67,199,8,5,65
68,201,4,15,69
69,203,1,11,64
70,204,7,5,68
71,205,2,12,71
72,210,5,14,74
73,212,1,20,70
74,214,7,2,72
75,218,2,1,73
76,223,3,18,78
77,225,5,4,77
78,229,9,16,76
79,230,2,9,75
80,232,6,11,79
81,234,5,15,81
82,234,10,10,82
83,239,6,4,80
84,241,4,3,84
85,242,6,7,83
86,248,10,20,85
87,251,7,9,87
88,251,5,7,89
89,253,2,11,86
90,259,10,16,88
91,260,1,6,90
92,262,3,8,91
93,262,5,12,93
94,269,10,20,94
95,273,1,1,92
96,277,10,19,96
97,287,1,8,95
98,292,10,14,102
99,298,3,16,100
100,299,2,9,98
101,299,7,6,101
102,300,9,1,99
103,301,4,8,97
104,304,6,18,105
105,306,8,4,106
106,309,10,18,107
107,310,2,16,104
108,311,1,9,103
109,313,2,7,109
110,317,4,1,108
111,319,6,20,110
112,319,1,15,113
113,320,2,7,112
114,322,7,18,116
115,328,4,16,111
116,329,9,6,114
117,329,5,9,115
118,341,6,6,117
119,342,7,1,119
120,343,9,11,118
