SIMUL8 Flow File Version 1.00
ID,Time,lbl_resource,lbl_loc,lbl_seq
1,9,2,2,0
2,10,3,8,1
3,17,2,5,2
4,17,1,4,3
5,20,3,3,4
6,25,2,5,6
7,29,1,10,5
8,34,2,7,7
9,42,2,5,8
10,52,2,3,9
11,60,3,4,11
12,64,2,10,10
13,74,2,9,12
14,76,3,6,13
15,82,2,4,14
16,91,2,7,15
17,99,2,1,16
18,103,3,10,17
19,109,2,9,18
20,117,2,5,19
21,127,2,9,20
22,139,2,10,21
23,148,2,7,22
24,157,2,7,23
25,165,5,4,25
26,167,2,9,24
27,175,3,5,27
28,177,2,9,26
29,183,1,5,28
30,185,2,4,29
31,194,2,7,30
32,202,5,4,33
33,204,3,8,32
34,206,2,6,31
35,218,2,6,34
36,230,2,6,35
37,238,2,5,36
38,248,2,8,37
39,256,1,1,39
40,260,2,10,38
41,268,2,4,40
42,268,4,5,41
43,278,2,8,42
44,290,2,10,43
45,298,2,5,44
46,299,1,7,45
47,308,2,7,46
48,317,3,2,48
49,320,2,10,47
50,332,2,6,49
51,340,3,4,51
52,341,2,7,50
53,350,3,9,52
54,350,2,2,53
55,362,2,6,54
56,372,2,3,55
57,381,2,7,56
58,381,3,2,57
59,389,2,1,58
60,391,3,9,59
