SIMUL8 Flow File Version 1.00
ID,Time,lbl_resource,lbl_loc,lbl_seq
1,18,5,6,0
2,22,5,10,5
3,26,1,1,4
4,30,3,2,3
5,35,2,7,2
6,36,4,6,1
7,40,4,10,6
8,58,2,4,7
9,68,2,5,12
10,70,4,2,11
11,75,5,7,10
12,76,1,6,9
13,80,3,4,8
14,88,3,1,13
15,91,5,9,15
16,94,4,9,16
17,96,1,1,14
18,106,4,5,21
19,108,5,2,20
20,109,3,6,18
21,113,1,7,19
22,113,2,4,17
23,116,3,9,23
24,119,1,9,24
25,123,2,8,22
26,131,1,3,29
27,133,4,7,26
28,133,3,5,28
29,134,5,6,25
30,135,2,2,27
31,141,4,3,30
32,157,2,4,31
33,167,2,8,35
34,174,4,7,34
35,175,1,6,33
36,179,3,4,32
37,201,3,4,36
38,209,2,1,39
39,213,4,2,38
40,219,3,6,40
41,223,1,4,37
42,231,2,3,43
43,233,4,5,42
44,241,1,6,41
45,249,4,1,46
46,258,1,7,45
47,259,3,6,44
48,276,3,7,47
49,284,4,1,49
50,286,3,5,50
51,293,1,7,48
52,297,4,10,52
53,301,1,3,51
54,303,3,5,53
55,309,1,3,54
56,317,1,3,55
57,321,1,10,56
58,343,1,4,57
59,365,1,4,58
60,377,1,2,59
