SIMUL8 Flow File Version 1.00
ID,Time,lbl_resource,lbl_loc,lbl_seq
1,8,2,1,1
2,12,5,6,0
3,22,5,9,3
4,24,1,6,2
5,32,3,5,6
6,33,4,7,7
7,34,2,3,5
8,36,1,10,4
9,41,4,1,9
10,44,3,6,8
11,50,1,7,11
12,51,4,3,10
13,56,3,6,12
14,56,5,10,13
15,64,2,4,15
16,65,1,7,16
17,68,4,6,14
18,74,2,7,17
19,76,4,5,18
20,76,1,4,19
21,84,2,5,20
22,85,1,7,21
23,94,2,2,23
24,97,1,6,22
25,107,4,9,25
26,109,5,6,24
27,119,4,10,26
28,127,3,1,28
29,131,4,10,27
30,136,3,2,29
31,145,3,7,30
32,153,1,4,32
33,154,4,7,31
34,162,3,4,34
35,163,4,2,33
36,164,1,3,35
37,172,1,1,36
38,174,2,8,37
39,182,1,9,38
40,190,1,1,39
41,191,5,2,40
42,199,2,4,42
43,200,5,7,41
44,207,3,4,43
45,207,4,1,45
46,209,2,8,44
47,215,3,5,48
48,216,4,2,46
49,217,1,3,47
50,223,2,4,50
51,225,3,9,49
52,233,3,5,51
53,234,1,2,52
54,241,4,5,53
55,245,3,6,54
56,253,3,4,55
57,255,1,3,56
58,263,1,4,57
59,275,1,6,58
60,285,1,3,59
