SIMUL8 Flow File Version 1.00
ID,Time,lbl_resource,lbl_loc,lbl_seq
1,8,2,1,0
2,8,3,4,1
3,8,1,5,2
4,16,5,4,3
5,16,4,5,4
6,24,2,5,5
7,24,5,4,8
8,25,1,7,7
9,25,3,2,6
10,32,2,4,9
11,33,3,5,10
12,37,1,10,11
13,45,3,4,13
14,49,2,10,12
15,53,1,4,14
16,57,2,5,15
17,58,3,2,16
18,61,1,1,17
19,69,2,1,18
20,71,3,3,19
21,81,3,8,21
22,81,2,3,20
23,91,2,9,22
24,93,3,6,23
25,103,2,10,24
26,103,3,8,25
27,113,2,8,26
28,113,3,9,27
29,125,2,6,28
30,125,3,10,29
31,133,2,4,30
32,135,3,9,31
33,145,2,9,32
34,157,2,6,33
35,169,2,10,34
36,177,2,4,35
37,185,2,5,36
38,193,2,5,37
39,202,2,2,38
40,211,2,7,39
41,221,2,3,40
42,231,2,8,41
43,241,2,9,42
44,253,2,6,43
45,265,2,10,44
46,273,2,5,45
47,281,2,5,46
48,290,2,2,47
49,299,2,7,48
50,309,2,9,49
51,319,2,9,50
52,331,2,6,51
53,343,2,10,52
54,352,2,7,53
55,361,2,7,54
56,373,2,6,55
57,382,2,7,56
58,391,2,7,57
59,400,2,7,58
60,409,2,7,59
