SIMUL8 Flow File Version 1.00
ID,Time,lbl_resource,lbl_loc,lbl_seq
1,10,3,9,2
2,10,2,3,1
3,12,5,6,0
4,19,1,2,4
5,20,4,9,3
6,20,2,1,6
7,20,3,4,7
8,21,5,7,5
9,28,4,5,8
10,30,3,2,12
11,31,2,8,11
12,32,1,6,9
13,33,5,10,10
14,39,4,2,13
15,41,1,7,14
16,43,2,8,16
17,45,5,6,15
18,50,3,7,17
19,58,1,1,19
20,59,4,7,18
21,59,2,2,21
22,60,5,9,20
23,66,3,1,22
24,74,4,1,23
25,74,1,4,24
26,75,2,7,26
27,75,5,2,25
28,82,3,4,27
29,82,4,5,28
30,86,1,6,29
31,90,2,4,30
32,98,3,4,31
33,102,4,6,32
34,110,2,4,34
35,110,3,5,35
36,114,1,6,33
37,114,4,10,36
38,122,2,4,38
39,122,3,5,39
40,126,1,10,37
41,134,2,5,42
42,136,1,3,41
43,138,4,10,40
44,142,3,5,43
45,148,4,3,44
46,157,4,2,47
47,158,1,3,45
48,160,3,6,46
49,167,1,7,48
50,172,3,6,49
51,176,4,7,50
52,184,4,1,53
53,185,1,7,51
54,188,3,6,52
55,193,1,1,54
56,201,1,4,55
57,211,1,3,56
58,221,1,3,57
59,231,1,9,58
60,239,1,4,59
