SIMUL8 Flow File Version 1.00
ID,Time,lbl_resource,lbl_loc,lbl_seq
1,9,2,2,3
2,10,3,9,2
3,12,1,6,0
4,12,4,10,1
5,18,5,2,4
6,20,4,1,6
7,20,3,4,7
8,20,2,5,8
9,21,1,7,5
10,30,5,6,9
11,30,2,7,13
12,30,3,2,12
13,31,4,3,11
14,33,1,10,10
15,39,5,7,14
16,41,1,1,15
17,41,4,5,16
18,49,3,5,17
19,51,5,9,19
20,51,2,3,18
21,59,2,1,23
22,60,3,7,22
23,60,4,2,21
24,61,1,9,20
25,63,5,6,24
26,71,3,1,27
27,71,2,4,28
28,75,1,6,25
29,75,4,10,26
30,83,3,4,32
31,85,4,9,31
32,85,1,3,30
33,87,5,10,29
34,91,2,4,33
35,97,1,6,34
36,105,3,4,36
37,109,4,6,35
38,113,2,4,37
39,115,1,3,38
40,117,3,5,40
41,118,4,2,39
42,123,2,8,41
43,126,3,5,44
44,127,4,7,43
45,127,1,2,42
46,133,2,8,45
47,136,1,7,46
48,145,4,7,47
49,146,1,3,49
50,148,3,6,48
51,153,4,1,50
52,158,1,3,52
53,160,3,6,51
54,161,4,5,53
55,169,1,7,55
56,172,3,6,54
57,177,1,1,56
58,185,1,4,57
59,193,1,4,58
60,201,1,4,59
