SIMUL8 Flow File Version 1.00
ID,Time,lbl_resource,lbl_loc,lbl_seq
1,10,3,8,1
2,12,2,2,0
3,20,3,3,4
4,22,2,5,2
5,34,1,4,3
6,38,1,10,5
7,44,2,5,6
8,61,2,7,7
9,71,2,5,8
10,79,2,3,9
11,83,2,10,10
12,86,2,9,12
13,101,3,4,11
14,119,3,6,13
15,123,2,4,14
16,140,2,7,15
17,144,3,10,17
18,148,2,1,16
19,151,2,9,18
20,161,2,5,19
21,164,2,9,20
22,168,2,10,21
23,185,2,7,22
24,202,2,7,23
25,205,2,9,24
26,208,2,9,26
27,215,3,5,27
28,224,5,4,25
29,225,1,5,28
30,246,2,4,29
31,263,2,7,30
32,273,3,8,32
33,281,2,6,31
34,285,5,4,33
35,299,2,6,34
36,317,2,6,35
37,327,2,5,36
38,337,2,8,37
39,341,2,10,38
40,345,1,1,39
41,351,4,5,41
42,363,2,4,40
43,373,2,8,42
44,377,2,10,43
45,387,2,5,44
46,394,1,7,45
47,411,2,7,46
48,415,2,10,47
49,423,3,2,48
50,433,2,6,49
51,450,2,7,50
52,455,3,4,51
53,458,3,9,52
54,467,2,2,53
55,485,2,6,54
56,493,2,3,55
57,505,3,2,57
58,510,2,7,56
59,513,3,9,59
60,518,2,1,58
