SIMUL8 Flow File Version 1.00
ID,Time,lbl_resource,lbl_loc,lbl_seq
1,3,5,9,0
2,4,4,10,1
3,8,2,1,2
4,10,3,5,3
5,12,1,2,4
6,24,5,2,5
7,29,4,7,6
8,34,2,4,7
9,37,1,9,9
10,38,5,10,10
11,42,4,1,11
12,42,2,3,12
13,56,3,4,8
14,66,3,5,13
15,73,1,7,14
16,76,3,9,18
17,77,1,10,19
18,90,5,7,15
19,91,4,6,16
20,94,4,9,21
21,95,2,4,17
22,105,2,5,22
23,109,5,6,20
24,113,4,10,26
25,115,3,5,23
26,119,2,8,27
27,122,1,7,24
28,127,5,6,25
29,127,3,2,28
30,139,1,7,29
31,156,4,7,30
32,161,2,4,31
33,169,1,1,33
34,177,4,1,34
35,179,2,8,35
36,183,3,4,32
37,191,4,3,38
38,195,2,2,39
39,200,3,7,36
40,201,1,6,37
41,219,3,6,40
42,229,4,5,42
43,236,2,7,43
44,237,1,6,41
45,255,3,6,44
46,265,4,5,46
47,273,1,6,45
48,285,4,2,49
49,291,3,6,47
50,295,1,4,48
51,317,3,4,50
52,325,3,1,53
53,329,4,2,52
54,339,1,4,51
55,347,1,1,54
56,355,1,3,55
57,377,1,4,56
58,385,1,3,57
59,393,1,3,58
60,401,1,3,59
