SIMUL8 Flow File Version 1.00
ID,Time,lbl_resource,lbl_loc,lbl_seq
1,8,3,4,0
2,16,7,14,2
3,16,5,4,4
4,18,3,3,1
5,19,2,5,3
6,24,7,6,5
7,24,1,14,6
8,32,9,14,7
9,34,10,3,8
10,44,9,3,9
11,44,3,2,10
12,52,3,14,12
13,54,1,3,11
14,55,10,13,13
15,62,6,17,15
16,62,1,4,14
17,64,3,11,17
18,64,8,2,18
19,65,9,1,16
20,73,2,17,20
21,73,9,4,19
22,83,9,19,21
23,93,9,19,22
24,101,9,6,23
25,101,10,17,26
26,102,5,8,25
27,104,1,1,24
28,112,5,19,27
29,122,5,20,28
30,132,8,20,29
31,140,2,17,31
32,142,9,20,30
33,152,9,19,32
34,153,7,9,33
35,161,7,14,34
36,163,8,11,35
37,163,2,20,36
38,173,6,19,38
39,173,9,11,39
40,174,2,13,37
41,174,5,5,40
42,184,2,11,41
43,185,6,13,42
44,194,7,11,43
45,195,3,5,44
46,204,2,11,45
47,204,7,15,46
48,212,1,17,49
49,213,8,7,48
50,213,3,8,51
51,214,7,20,47
52,214,9,2,50
53,215,6,9,52
54,223,5,4,55
55,226,3,9,53
56,226,9,13,54
57,236,7,19,57
58,236,9,15,58
59,236,2,20,59
60,237,3,18,56
61,246,2,3,60
62,247,8,9,61
63,256,2,20,62
64,257,8,2,63
65,259,1,10,64
66,264,6,6,66
67,264,9,14,67
68,266,2,15,65
69,271,4,10,68
70,279,2,14,70
71,279,9,12,72
72,279,7,4,71
73,283,8,10,69
74,291,7,6,74
75,294,8,1,73
76,299,10,6,75
77,302,9,5,76
78,306,8,10,77
79,314,3,12,79
80,318,8,16,78
81,322,3,14,80
82,331,9,8,82
83,331,8,7,83
84,332,3,11,81
85,342,3,3,84
86,344,7,16,85
87,352,9,15,87
88,352,6,3,86
89,362,3,3,88
90,363,7,9,89
91,370,1,17,91
92,370,9,14,92
93,374,3,16,90
94,383,1,8,96
95,384,10,11,95
96,385,3,18,93
97,386,8,10,94
98,391,1,17,97
99,402,1,5,98
100,402,6,1,99
101,410,5,17,102
102,412,6,20,100
103,412,3,11,103
104,413,9,13,101
105,420,3,14,105
106,421,5,18,104
107,421,8,8,106
108,423,6,1,107
109,428,2,14,108
110,428,10,17,110
111,428,4,12,111
112,432,9,10,109
113,437,5,7,113
114,438,2,20,112
115,442,9,3,114
116,443,9,1,115
117,448,2,19,116
118,450,8,16,117
119,460,2,10,118
120,471,1,1,120
121,472,7,10,119
122,480,2,7,122
123,480,8,17,125
124,481,3,2,123
125,482,7,19,124
126,482,1,1,121
127,491,8,13,126
128,491,2,18,128
129,492,4,10,127
130,500,1,12,130
131,502,4,20,129
132,503,6,1,131
133,513,6,3,132
134,515,5,16,133
135,526,2,9,135
136,527,1,16,134
137,535,1,17,136
138,538,9,18,137
139,545,1,19,138
140,546,8,1,139
141,548,2,3,142
142,549,3,18,140
143,550,10,10,141
144,553,6,12,144
145,555,1,15,143
146,561,7,12,145
147,564,8,5,146
148,569,7,4,147
149,571,9,3,148
150,577,7,12,149
151,577,9,14,152
152,579,6,11,150
153,579,1,2,151
154,580,3,13,153
155,588,3,14,154
156,589,5,8,155
157,596,7,17,161
158,598,3,15,156
159,598,10,11,158
160,598,2,3,159
161,599,1,9,160
162,600,6,10,157
163,607,7,5,162
164,617,7,15,163
165,618,9,13,164
166,618,5,18,165
167,627,2,15,166
168,628,9,11,167
169,628,7,3,168
170,629,6,18,169
171,636,9,17,170
172,636,5,12,171
173,644,9,14,172
174,645,10,8,175
175,646,1,15,173
176,647,6,9,174
177,654,2,4,177
178,656,1,19,176
179,662,2,4,178
180,664,1,14,179
181,672,9,4,181
182,674,1,20,180
183,675,2,5,182
184,680,10,4,183
185,683,9,18,184
186,688,3,4,185
187,689,1,8,186
188,696,9,12,188
189,696,4,4,187
190,698,7,20,189
191,706,5,14,191
192,708,7,3,190
193,718,7,2,192
194,719,1,13,193
195,727,3,14,195
196,731,1,16,194
197,735,7,14,196
198,743,3,4,198
199,745,7,15,197
200,746,10,13,199
201,752,9,8,201
202,753,3,3,200
203,763,3,11,202
204,763,1,15,203
205,765,7,10,204
206,771,3,12,205
207,771,1,6,206
208,779,9,14,208
209,779,1,4,209
210,781,3,19,207
211,787,5,12,212
212,787,8,4,210
213,789,6,20,211
214,795,1,12,213
215,797,7,11,214
216,807,7,20,215
217,807,3,15,216
218,807,1,11,217
219,808,6,5,218
220,816,7,7,219
221,816,9,6,222
222,818,1,2,221
223,819,6,1,220
224,827,6,6,224
225,830,1,16,223
226,838,3,14,228
227,838,6,5,225
228,838,1,4,226
229,840,5,19,227
230,840,10,3,229
231,841,2,18,230
232,841,9,13,231
233,846,3,12,232
234,847,7,7,233
235,858,7,13,234
236,858,5,9,235
237,866,7,14,236
238,868,1,2,237
239,878,7,2,238
240,879,3,5,239
