SIMUL8 Flow File Version 1.00
ID,Time,lbl_resource,lbl_loc,lbl_seq
1,11,7,5,2
2,12,9,10,0
3,12,1,16,1
4,19,4,4,9
5,20,10,8,8
6,21,5,19,7
7,21,8,2,6
8,22,2,9,4
9,22,6,13,5
10,22,3,5,3
11,27,1,6,11
12,27,7,12,12
13,27,9,4,10
14,30,3,14,13
15,30,2,17,14
16,32,4,20,19
17,33,10,13,18
18,33,5,5,17
19,34,6,10,15
20,34,8,16,16
21,40,7,4,22
22,41,1,8,21
23,42,9,20,20
24,48,2,14,24
25,48,6,17,25
26,48,3,4,23
27,56,8,17,26
28,56,4,12,29
29,59,10,13,28
30,60,5,16,27
31,64,9,12,30
32,64,1,14,31
33,64,7,17,32
34,71,2,5,34
35,72,3,16,33
36,82,8,9,36
37,82,5,18,37
38,82,6,5,35
39,92,10,3,38
40,93,9,1,40
41,94,4,10,39
42,104,7,9,42
43,104,1,1,41
44,112,10,4,48
45,114,5,19,47
46,114,8,2,46
47,115,3,9,43
48,115,2,13,44
49,115,6,18,45
50,115,9,1,50
51,116,4,10,49
52,123,10,6,58
53,125,8,11,56
54,125,5,20,57
55,125,6,3,55
56,126,7,9,52
57,126,3,13,53
58,126,2,18,54
59,126,1,1,51
60,131,9,6,59
61,134,1,12,60
62,134,7,14,61
63,137,3,5,62
64,148,6,9,64
65,148,8,13,65
66,148,5,18,66
67,148,2,5,63
68,158,10,3,67
69,166,6,6,73
70,168,1,11,69
71,168,7,15,70
72,168,3,19,71
73,168,2,20,72
74,168,9,3,68
75,169,5,9,75
76,170,8,10,74
77,178,10,11,76
78,186,6,6,82
79,186,10,17,85
80,186,2,4,81
81,187,3,8,80
82,187,5,7,84
83,188,9,11,77
84,188,1,15,78
85,188,7,19,79
86,190,8,10,83
87,196,9,17,86
88,201,3,18,89
89,202,1,10,87
90,202,7,16,88
91,209,10,17,94
92,210,5,8,93
93,211,8,20,92
94,211,6,3,91
95,212,2,18,90
96,212,9,5,95
97,221,8,7,101
98,221,5,8,102
99,222,6,11,100
100,222,2,3,99
101,223,7,13,97
102,223,3,18,98
103,223,1,5,96
104,224,10,10,103
105,234,9,13,104
106,244,7,2,106
107,245,1,13,105
108,252,5,4,111
109,253,8,7,110
110,254,6,19,109
111,254,10,11,112
112,254,3,2,107
113,254,2,3,108
114,262,3,4,116
115,264,9,11,113
116,264,1,15,114
117,264,7,19,115
118,270,6,12,118
119,270,2,4,117
120,274,8,10,119
121,278,5,4,120
122,286,1,12,122
123,286,9,4,121
124,294,7,12,123
125,294,3,14,124
126,294,2,17,125
127,297,6,1,126
128,305,5,12,128
129,308,8,1,127
130,313,9,12,129
131,313,1,14,130
132,315,6,20,134
133,315,2,3,133
134,316,3,18,132
135,317,7,10,131
136,317,8,8,135
137,321,5,12,136
138,321,9,14,137
139,321,1,17,138
140,325,8,4,143
141,327,2,11,141
142,327,6,20,142
143,327,3,2,140
144,329,7,10,139
145,329,5,14,144
146,337,9,14,145
147,337,1,17,146
148,339,2,11,149
149,339,7,2,147
150,339,3,3,148
151,340,6,1,150
152,348,5,17,152
153,350,1,2,154
154,350,7,3,155
155,351,9,13,153
156,351,8,1,151
157,360,2,15,157
158,360,3,3,156
159,361,1,2,161
160,362,9,13,160
161,362,6,1,158
162,362,8,5,159
163,370,7,3,162
164,380,2,15,164
165,380,7,11,169
166,380,3,3,163
167,380,1,2,168
168,381,9,13,167
169,381,6,1,165
170,382,8,16,166
171,390,3,11,170
172,390,2,19,171
173,391,1,3,174
174,392,9,18,173
175,392,6,5,172
176,400,7,11,175
177,410,3,11,176
178,410,2,20,177
179,410,1,15,180
180,411,6,9,178
181,411,9,18,179
182,418,2,14,183
183,418,3,4,182
184,420,7,15,181
185,426,9,14,184
186,426,1,17,185
187,430,7,15,186
188,439,9,8,189
189,440,3,15,187
190,440,2,20,188
191,447,7,4,191
192,448,1,8,190
193,448,3,12,192
194,450,9,2,194
195,452,2,10,193
196,456,3,12,197
197,458,1,19,195
198,458,7,20,196
199,466,7,6,201
200,466,3,12,202
201,466,1,4,200
202,467,9,8,199
203,468,2,20,198
204,476,9,6,204
205,476,1,17,205
206,476,3,14,207
207,477,2,7,203
208,478,7,20,206
209,484,9,14,208
210,488,1,16,209
211,488,7,20,210
212,492,3,14,211
213,500,9,14,212
214,501,7,7,214
215,504,1,16,213
216,508,3,14,215
217,516,9,14,216
218,517,7,7,218
219,519,1,1,217
220,524,3,14,219
221,526,9,3,220
222,527,7,6,222
223,529,1,19,221
224,536,3,3,223
225,544,7,14,226
226,546,1,20,225
227,546,3,11,227
228,546,9,15,228
229,546,9,3,224
230,554,7,14,230
231,554,1,4,229
232,556,3,11,231
233,556,9,15,232
234,562,7,14,234
235,562,1,4,233
236,566,3,15,235
237,566,9,19,236
238,573,1,9,237
239,576,9,19,238
240,586,9,19,239
