SIMUL8 Flow File Version 1.00
ID,Time,lbl_resource,lbl_loc,lbl_seq
1,9,3,4,0
2,14,3,3,1
3,15,7,14,2
4,17,7,6,5
5,18,5,4,4
6,21,1,14,6
7,26,2,5,3
8,26,10,3,8
9,27,9,14,7
10,32,9,3,9
11,37,1,3,11
12,40,3,2,10
13,45,10,13,13
14,46,3,14,12
15,49,1,4,14
16,51,6,17,15
17,54,9,1,16
18,57,3,11,17
19,59,8,2,18
20,63,9,4,19
21,65,2,17,20
22,68,9,19,21
23,73,9,19,22
24,75,9,6,23
25,82,5,8,25
26,84,10,17,26
27,87,5,19,27
28,87,1,1,24
29,92,5,20,28
30,97,8,20,29
31,102,9,20,30
32,106,7,9,33
33,107,9,19,32
34,108,2,17,31
35,112,7,14,34
36,113,2,20,36
37,117,8,11,35
38,118,2,13,37
39,118,6,19,38
40,128,9,11,39
41,133,6,13,42
42,134,5,5,40
43,139,2,11,41
44,150,7,11,43
45,153,7,15,46
46,156,3,5,44
47,158,7,20,47
48,160,6,9,52
49,161,2,11,45
50,164,1,17,49
51,165,8,7,48
52,165,3,8,51
53,166,9,2,50
54,169,3,9,53
55,171,9,13,54
56,174,7,19,57
57,174,9,15,58
58,175,5,4,55
59,176,2,20,59
60,180,8,9,61
61,181,2,3,60
62,186,3,18,56
63,186,2,20,62
64,188,6,6,66
65,189,2,15,65
66,192,9,14,67
67,194,8,2,63
68,197,1,10,64
69,213,4,10,68
70,219,2,14,70
71,222,7,4,71
72,228,9,12,72
73,229,8,10,69
74,231,7,6,74
75,233,10,6,75
76,243,8,1,73
77,248,9,5,76
78,259,8,10,77
79,262,8,16,78
80,274,3,12,79
81,280,3,14,80
82,289,9,8,82
83,291,3,11,81
84,292,8,7,83
85,294,7,16,85
86,296,3,3,84
87,299,9,15,87
88,301,6,3,86
89,305,7,9,89
90,306,3,3,88
91,309,3,16,90
92,312,9,14,92
93,317,1,17,91
94,320,10,11,95
95,325,8,10,94
96,326,3,18,93
97,326,1,8,96
98,337,1,17,97
99,351,6,1,99
100,354,1,5,98
101,356,6,20,100
102,356,9,13,101
103,362,5,17,102
104,362,3,11,103
105,368,3,14,105
106,371,8,8,106
107,374,2,14,108
108,376,6,1,107
109,379,5,18,104
110,379,10,17,110
111,379,2,20,112
112,383,4,12,111
113,384,9,10,109
114,387,8,16,117
115,389,2,19,116
116,389,9,3,114
117,391,5,7,113
118,398,9,1,115
119,405,2,10,118
120,419,1,1,120
121,421,7,10,119
122,426,7,19,124
123,431,2,7,122
124,432,8,17,125
125,432,3,2,123
126,433,1,1,121
127,437,8,13,126
128,448,4,10,127
129,449,2,18,128
130,453,4,20,129
131,462,6,1,131
132,463,1,12,130
133,465,5,16,133
134,467,6,3,132
135,468,1,16,134
136,469,2,9,135
137,479,1,17,136
138,484,1,19,138
139,485,9,18,137
140,488,1,15,143
141,490,2,3,142
142,493,8,1,139
143,500,6,12,144
144,501,10,10,141
145,502,3,18,140
146,515,7,12,145
147,517,8,5,146
148,520,9,3,148
149,524,7,4,147
150,529,3,13,153
151,530,9,14,152
152,535,6,11,150
153,536,3,14,154
154,537,1,2,151
155,539,7,12,149
156,539,5,8,155
157,539,3,15,156
158,541,1,9,160
159,541,2,3,159
160,547,10,11,158
161,550,7,17,161
162,552,6,10,157
163,567,7,5,162
164,570,7,15,163
165,572,9,13,164
166,573,2,15,166
167,577,7,3,168
168,583,9,11,167
169,584,5,18,165
170,595,9,17,170
171,598,1,15,173
172,599,5,12,171
173,601,6,18,169
174,601,9,14,172
175,605,6,9,174
176,606,1,19,176
177,610,10,8,175
178,610,2,4,177
179,616,1,14,179
180,619,2,4,178
181,621,1,20,180
182,628,9,4,181
183,636,2,5,182
184,637,10,4,183
185,645,9,18,184
186,646,1,8,186
187,646,3,4,185
188,651,7,20,189
189,655,4,4,187
190,656,7,3,190
191,657,5,14,191
192,661,9,12,188
193,661,1,13,193
194,664,1,16,194
195,667,3,14,195
196,669,7,2,192
197,675,7,14,196
198,678,7,15,197
199,680,10,13,199
200,684,3,4,198
201,689,3,3,200
202,692,1,15,203
203,693,9,8,201
204,700,3,11,202
205,702,1,6,206
206,705,7,10,204
207,715,3,12,205
208,720,3,19,207
209,721,9,14,208
210,724,1,4,209
211,729,6,20,211
212,733,8,4,210
213,739,5,12,212
214,750,7,11,214
215,753,3,15,216
216,754,1,12,213
217,755,7,20,215
218,765,1,11,217
219,767,7,7,219
220,771,6,5,218
221,773,9,6,222
222,784,1,2,221
223,785,6,1,220
224,787,1,16,223
225,787,6,6,224
226,792,5,19,227
227,792,9,13,231
228,792,10,3,229
229,793,3,14,228
230,796,1,4,226
231,804,2,18,230
232,804,6,5,225
233,805,7,7,233
234,808,3,12,232
235,809,5,9,235
236,810,7,13,234
237,816,7,14,236
238,823,1,2,237
239,836,7,2,238
240,840,3,5,239
