SIMUL8 Flow File Version 1.00
ID,Time,lbl_resource,lbl_loc,lbl_seq
1,16,4,10,0
2,21,4,20,10
3,25,3,8,9
4,25,9,4,8
5,27,7,11,6
6,27,1,17,7
7,28,2,7,5
8,29,8,2,4
9,30,6,1,3
10,31,5,12,2
11,32,10,10,1
12,34,10,6,11
13,49,5,5,12
14,65,8,10,14
15,66,6,5,13
16,74,4,4,20
17,76,3,11,19
18,78,9,2,18
19,79,8,13,24
20,79,1,1,17
21,79,6,3,23
22,80,7,12,16
23,81,2,10,15
24,83,5,8,22
25,83,10,4,21
26,84,9,15,28
27,86,2,13,25
28,86,7,19,26
29,86,1,20,27
30,87,3,15,29
31,95,10,11,31
32,95,5,17,32
33,100,4,10,30
34,101,2,14,35
35,104,8,4,34
36,106,6,17,33
37,106,9,13,38
38,106,3,19,39
39,106,1,3,37
40,107,7,14,36
41,111,8,20,44
42,111,6,3,43
43,112,10,11,41
44,113,9,6,48
45,113,5,4,42
46,114,1,15,47
47,115,7,9,46
48,116,4,12,40
49,116,2,20,45
50,118,6,13,52
51,119,8,9,53
52,121,9,6,57
53,122,7,15,55
54,122,1,16,56
55,122,5,4,51
56,123,10,17,50
57,123,2,9,54
58,128,3,5,49
59,131,8,16,62
60,133,6,19,61
61,137,5,8,60
62,139,10,17,59
63,145,3,5,58
64,162,2,5,63
65,178,1,10,65
66,179,7,5,64
67,181,8,16,71
68,183,6,20,70
69,184,5,14,69
70,187,10,8,68
71,193,3,12,67
72,194,9,10,66
73,196,2,5,72
74,209,1,12,74
75,210,7,10,73
76,214,5,19,78
77,214,6,20,79
78,214,10,3,77
79,222,3,2,76
80,224,9,12,75
81,230,7,10,82
82,231,2,18,81
83,231,8,5,80
84,239,1,12,83
85,243,6,9,88
86,244,5,19,87
87,244,10,3,86
88,252,3,2,85
89,254,9,12,84
90,255,2,11,90
91,259,6,9,97
92,260,8,10,89
93,260,10,13,95
94,260,5,20,96
95,261,3,14,94
96,264,9,4,93
97,266,7,11,91
98,266,1,17,92
99,276,8,10,98
100,277,2,11,99
101,277,7,17,100
102,279,6,6,106
103,281,5,9,105
104,282,10,13,104
105,283,3,14,103
106,286,9,8,102
107,288,1,17,101
108,291,8,1,107
109,297,7,4,109
110,299,2,17,108
111,299,6,6,114
112,300,5,16,113
113,303,3,14,112
114,306,9,8,111
115,306,1,4,110
116,310,2,17,116
117,311,8,1,115
118,315,7,4,117
119,321,9,14,119
120,324,1,4,118
121,327,3,14,120
122,338,5,18,121
123,344,7,14,125
124,347,2,4,124
125,349,3,13,128
126,349,9,3,127
127,350,1,14,126
128,351,8,2,123
129,355,6,18,122
130,361,7,14,133
131,364,2,4,132
132,365,3,9,136
133,366,9,3,135
134,367,8,7,131
135,367,1,14,134
136,371,6,10,130
137,372,5,18,129
138,387,5,12,137
139,393,2,14,140
140,398,1,13,142
141,399,8,7,139
142,399,7,14,141
143,401,3,15,144
144,402,6,12,138
145,403,9,13,143
146,411,5,7,145
147,413,6,11,146
148,418,2,3,148
149,423,1,19,150
150,423,7,3,149
151,424,8,11,147
152,426,3,16,152
153,428,9,19,151
154,429,2,3,155
155,434,1,19,157
156,434,7,3,156
157,435,8,17,154
158,439,9,19,158
159,440,6,5,153
160,443,9,15,165
161,444,1,9,164
162,445,7,13,163
163,445,2,3,162
164,449,8,8,161
165,451,3,18,159
166,454,6,1,160
167,459,2,19,168
168,462,1,15,170
169,464,7,19,169
170,468,3,18,166
171,468,6,1,167
172,473,2,20,174
173,476,1,15,176
174,476,9,5,171
175,478,7,20,175
176,482,6,1,173
177,485,3,18,172
178,490,2,20,179
179,493,1,16,181
180,495,7,20,180
181,500,3,12,178
182,502,9,18,177
183,507,2,20,184
184,510,1,16,186
185,512,7,20,185
186,517,3,12,183
187,519,9,18,182
188,522,2,15,189
189,524,1,6,191
190,525,7,15,190
191,530,3,11,188
192,533,9,1,187
193,536,2,15,194
194,539,7,15,195
195,544,3,11,193
196,547,9,1,192
197,553,1,5,196
198,558,9,11,197
199,569,3,11,198
200,572,1,1,201
201,573,7,12,200
202,575,2,18,199
203,577,7,9,204
204,578,3,4,203
205,580,9,11,202
206,583,7,16,208
207,587,1,1,205
208,589,3,4,207
209,591,9,17,206
210,597,9,14,210
211,599,7,6,212
212,600,1,2,209
213,603,3,14,211
214,609,9,14,214
215,611,7,6,216
216,613,1,2,213
217,615,3,14,215
218,620,3,3,219
219,621,9,14,218
220,626,1,2,217
221,631,3,3,223
222,632,9,14,222
223,637,1,11,221
224,639,7,2,220
225,644,3,3,227
226,645,9,14,226
227,650,1,17,225
228,652,7,2,224
229,657,9,3,230
230,661,1,4,229
231,662,3,3,231
232,664,7,7,228
233,669,9,13,234
234,673,1,8,233
235,673,3,4,235
236,676,7,7,232
237,678,9,13,237
238,682,1,8,236
239,683,9,19,238
240,688,9,20,239
