SIMUL8 Flow File Version 1.00
ID,Time,lbl_resource,lbl_loc,lbl_seq
1,3,3,15,0
2,6,9,15,1
3,6,1,16,2
4,7,7,9,3
5,8,8,13,5
6,8,6,19,6
7,8,5,20,7
8,8,2,3,4
9,12,10,4,8
10,21,3,8,10
11,21,4,4,9
12,23,9,11,11
13,23,1,17,12
14,24,7,7,13
15,28,2,10,14
16,30,10,6,18
17,33,4,20,19
18,34,3,14,20
19,40,9,14,21
20,43,1,4,22
21,44,8,10,15
22,45,5,18,17
23,45,7,11,23
24,45,6,5,16
25,56,2,11,24
26,56,8,17,25
27,59,6,1,26
28,60,5,12,27
29,61,10,10,28
30,63,1,6,32
31,64,7,15,33
32,65,2,9,34
33,69,8,9,35
34,70,5,19,37
35,70,6,3,36
36,74,10,8,38
37,77,4,10,29
38,78,9,18,31
39,78,3,5,30
40,92,4,12,39
41,94,7,6,43
42,95,2,15,44
43,95,8,16,45
44,96,6,9,46
45,100,5,9,47
46,101,10,3,48
47,107,3,12,40
48,108,9,10,41
49,109,1,5,42
50,124,4,10,49
51,126,3,5,50
52,129,1,15,52
53,132,7,15,53
54,134,8,20,55
55,134,2,3,54
56,139,6,20,56
57,140,5,14,57
58,143,9,5,51
59,145,10,11,58
60,156,3,11,59
61,156,9,17,60
62,158,1,2,61
63,171,7,2,62
64,175,2,5,63
65,178,5,16,66
66,192,6,18,65
67,192,8,5,64
68,197,10,3,67
69,202,9,13,69
70,202,1,19,70
71,202,7,20,71
72,202,3,3,68
73,203,2,14,72
74,206,8,4,73
75,208,6,11,74
76,208,5,17,75
77,219,10,17,76
78,221,3,2,77
79,224,8,16,82
80,225,6,9,83
81,226,5,19,84
82,232,10,11,85
83,234,9,2,78
84,235,1,1,79
85,236,7,12,80
86,238,2,5,81
87,243,3,11,86
88,249,9,1,87
89,254,10,13,94
90,258,8,8,91
91,259,3,13,95
92,259,9,19,96
93,260,6,17,92
94,261,5,7,93
95,263,1,1,88
96,264,7,12,89
97,266,2,18,90
98,268,1,20,97
99,270,7,14,98
100,271,10,13,103
101,271,3,19,104
102,275,2,4,99
103,276,9,19,105
104,277,8,11,100
105,277,1,14,106
106,280,6,1,101
107,281,5,12,102
108,283,7,14,107
109,286,2,4,108
110,289,8,7,109
111,292,10,17,112
112,294,6,1,110
113,294,3,2,113
114,298,5,5,111
115,308,9,1,114
116,320,8,7,118
117,322,1,1,115
118,324,7,10,116
119,325,2,18,117
120,336,6,1,119
121,342,5,18,120
122,344,9,6,122
123,345,1,15,123
124,345,7,16,124
125,347,2,3,125
126,351,5,4,128
127,355,8,2,126
128,357,6,12,127
129,359,3,18,121
130,368,9,8,130
131,368,3,4,129
132,370,1,11,131
133,370,7,17,132
134,371,2,7,133
135,372,8,2,134
136,375,6,10,135
137,377,5,4,136
138,380,2,15,141
139,386,9,8,138
140,386,3,4,137
141,388,1,17,139
142,389,7,7,140
143,391,8,1,142
144,394,6,5,143
145,395,5,8,144
146,397,3,11,145
147,399,6,6,151
148,402,2,13,149
149,406,5,8,152
150,408,9,11,146
151,408,1,17,147
152,410,7,2,148
153,411,8,1,150
154,419,3,11,153
155,423,9,12,154
156,428,2,19,157
157,438,1,12,155
158,439,7,10,156
159,441,6,6,159
160,442,3,15,160
161,445,9,15,161
162,445,1,16,162
163,446,7,9,163
164,447,2,20,164
165,455,8,10,158
166,460,6,3,166
167,465,9,13,168
168,465,1,19,169
169,465,7,20,170
170,465,3,3,167
171,466,2,14,171
172,470,6,13,172
173,471,8,10,165
174,472,3,14,173
175,478,9,14,174
176,481,1,4,175
177,483,7,11,176
178,488,6,20,178
179,489,3,14,179
180,494,2,11,177
181,495,9,14,180
182,498,1,4,181
183,499,2,20,183
184,501,3,14,184
185,506,7,5,182
186,507,9,14,185
187,508,7,6,187
188,510,1,8,186
189,511,2,20,188
190,513,3,14,189
191,516,7,15,192
192,518,2,20,193
193,519,9,14,190
194,522,1,8,191
195,525,3,14,194
196,530,7,3,197
197,531,9,14,195
198,536,1,17,196
199,547,2,17,198
200,551,3,12,199
201,556,7,3,202
202,562,2,17,203
203,566,9,12,200
204,567,1,10,201
205,570,1,15,206
206,572,7,13,207
207,581,3,12,204
208,583,9,18,205
209,590,3,4,208
210,595,7,19,211
211,599,9,4,209
212,601,9,6,213
213,603,1,2,210
214,606,1,16,214
215,607,3,18,212
216,608,7,19,215
217,612,9,3,217
218,617,7,20,219
219,617,1,3,218
220,624,3,18,216
221,627,3,16,220
222,629,1,13,222
223,629,9,3,221
224,630,7,14,223
225,631,3,9,224
226,634,9,3,225
227,636,1,14,226
228,641,9,13,229
229,641,3,3,228
230,642,7,14,227
231,647,9,13,233
232,647,3,3,232
233,649,1,2,230
234,651,7,4,231
235,660,7,4,235
236,664,1,12,234
237,668,1,9,237
238,669,9,4,236
239,674,9,19,238
240,679,9,20,239
